M.M.,17,false,1723,R2,false,false,0,0,0,0,0,0,true,0,false,Ground,1,0,0,0,2,0,false,false,0,false,Fc,false,No Card
D.O.,18,false,9316,R3,true,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,false,No,false,No Card
RM,18,false,4455,R1,true,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,false,No,false,No Card
AK,18,false,1769,R3,true,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,false,No,false,No Card
Hermes D,18,false,9551,R1,false,true,0,0,0,1,0,0,false,0,true,HP,1,0,0,3,0,0,false,false,0,false,P,false,No Card
M.M.,18,false,1847,R1,false,true,0,0,0,3,0,0,false,0,false,HP,0,0,0,0,0,0,false,false,0,false,No,false,No Card
KS,18,false,1108,R2,false,true,0,0,0,1,0,0,false,0,false,HP,0,0,0,9,0,0,false,false,0,false,Dc,false,No Card
Hermes D,19,false,937,R3,true,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,false,No,false,No Card
D.O.,19,false,1764,R2,false,true,0,0,0,0,0,0,false,0,true,HP,0,0,0,1,0,3,false,true,0,false,P,false,No Card
AK,19,false,1108,R1,false,true,0,0,0,0,0,0,false,0,false,HP,0,1,4,5,0,2,false,false,0,false,P,false,No Card
RM,19,false,1723,R2,false,true,0,0,0,0,0,0,false,0,true,None,0,0,0,0,4,1,false,false,0,false,P,false,No Card
KS,19,false,935,R1,false,false,0,0,0,0,0,0,false,0,false,HP,0,0,0,1,0,0,false,false,0,false,Fc,false,No Card
M.M.,19,false,757,R1,false,true,0,0,0,3,0,2,false,0,false,HP,0,0,0,0,0,0,false,false,0,false,P,false,No Card
D.O.,20,false,5013,R3,true,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,false,No,false,No Card
AK,20,false,1825,R3,false,true,0,0,0,0,0,0,false,0,true,HP,0,3,2,0,0,0,false,false,0,false,P,false,No Card
KS,20,false,2410,R2,false,false,0,0,0,0,0,0,false,0,false,HP,0,0,0,2,0,0,false,false,0,true,No,false,No Card
Hermes D,20,false,5119,R1,false,true,0,0,0,0,0,0,false,0,true,Ground,0,0,0,0,0,4,false,false,0,false,P,false,No Card
RM,20,false,2001,R1,false,true,0,0,0,0,0,0,false,0,false,HP,1,0,0,0,0,0,false,false,0,false,P,false,No Card
