ERC,19,R1,5887,R2,false,SP1,true,0,0,0,0,0,0,false,0,true,1,0,0,0,0,0,0,false,false,0,false,No,false,No Card
ERC,19,R1,5887,R2,false,SP1,true,0,0,0,0,0,0,false,0,true,1,0,0,0,0,00,false,false,0,false,No,false,No Card
RCL,19,R2,false,3527,R1,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,1,0,0,0,0,false,false,0,false,P,false,No Card
Karen,16,B1,false,10580,R1,false,SP2,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,true,No,false,No Card
DFBr,19,B3,false,4977,R3,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,3,0,0,0,0,0,false,false,1,false,P,false,No Card
ERC,20,R1,4403,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,,0,2,2,4,0,0,false,false,0,false,P,false,No Card
ERC,20,R1,4403,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,,0,2,2,4,0,0,false,false,0,false,P,false,No Card
Pau,20,B2,true,3480,R1,false,SP1,true,0,0,0,0,0,0,false,0,true,Both,0,2,0,0,0,3,false,false,0,false,No,false,No Card
RCL,20,R2,false,6017,R2,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,2,4,0,0,0,false,false,0,false,P,false,No Card
RCL,20,R2,false,6017,R2,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,2,4,0,0,0,false,false,0,false,P,false,No Card
ERC,21,R1,6348,R2,false,SP1,true,0,0,0,0,0,0,false,0,false,3,0,0,0,4,0,0,false,false,0,false,No,false,No Card
RCL,21,R2,false,2283,R3,false,SP1,true,0,0,0,0,0,0,false,0,false,Both,1,0,0,0,6,1,false,false,0,false,P,false,No Card
Beltran,20,R3,false,4635,R1,false,SP1,true,0,2,0,0,0,0,false,0,true,HP,0,4,5,1,0,0,true,false,0,false,Dc,false,No Card
Beltran,22,R3,false,4371,R3,false,SP1,true,0,2,0,0,0,0,false,0,true,HP,3,3,1,0,0,0,false,false,0,false,No,false,No Card
Beltran,22,R3,false,4371,R3,false,SP1,true,0,2,0,0,0,0,false,0,true,HP,3,3,1,0,0,0,false,false,0,false,No,false,No Card
ERC,22,R1,8741,R2,false,SP1,true,0,0,0,0,0,0,false,0,false,1,0,0,0,0,0,0,true,false,0,false,P,false,No Card
RCL,22,R2,false,3158,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,HP,0,0,2,5,0,0,false,false,0,false,No,false,No Card
RCL,22,R2,false,3158,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,HP,0,0,2,5,0,0,false,false,0,false,No,false,No Card
RCL,22,R2,false,3158,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,HP,0,0,2,5,0,0,false,false,0,false,No,false,No Card
RCL,22,R2,false,3158,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,HP,0,0,2,5,0,0,false,false,0,false,No,false,No Card
ERC,23,R1,10529,R2,true,SP2,false,0,0,0,0,0,0,false,0,false,1,0,0,0,0,0,0,false,false,0,false,No,false,No Card
RCL,23,R2,true,6106,R1,false,SP1,true,0,0,0,0,0,0,false,0,false,HP,0,5,0,0,0,1,false,false,0,true,No,false,No Card
RCL,23,R2,true,6106,R1,false,SP1,true,0,0,0,0,0,0,false,0,false,HP,0,5,0,0,0,1,false,false,0,true,No,false,No Card
RCL,23,R2,true,6106,R1,false,SP1,true,0,0,0,0,0,0,false,0,false,HP,0,5,0,0,0,1,false,false,0,true No Card,Yellow Card
MR,23,R3,4731,R3,false,SP1,true,0,0,0,0,0,0,false,0,false,3,2,1,0,0,0,2,false,false,0,false,No,false,No Card
ERC,24,R1,3472,R2,false,SP2,true,1,0,0,0,0,0,false,0,false,3,0,0,0,5,0,0,false,false,0,false,P,false,No Card
ERC,24,R1,3472,R2,false,SP2,true,1,0,0,0,0,0,false,0,false,3,0,0,0,5,0,0,false,false,0,false,P,false,No Card
MR,1,CH,true,0,R3,false,SP1,true,0,0,0,0,0,0,false,0,true,None,0,0,0,0,0,1,false,false,0,false,P,false,No CardERC,19,R1,5887,R2,false,SP1,true,0,0,0,0,0,0,false,0,true,1,0,0,0,0,0,0,false,false,0,false,No,false,No Card
ERC,19,R1,5887,R2,false,SP1,true,0,0,0,0,0,0,false,0,true,1,0,0,0,0,0,0,false,false,0,false,No,false,No Card
RCL,19,R2,false,3527,R1,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,1,0,0,0,0,false,false,0,false,P,false,No Card
Karen,16,B1,false,10580,R1,false,SP2,false,0,0,0,0,0,0,false,0,false,None,0,0,0,0,0,0,false,false,0,true,No,false,No Card
DFBr,19,B3,false,4977,R3,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,3,0,0,0,0,0,false,false,1,false,P,false,No Card
ERC,20,R1,4403,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,,0,2,2,4,0,0,false,false,0,false,P,false,No Card
ERC,20,R1,4403,R1,false,SP1,true,1,0,0,0,0,0,false,0,false,,0,2,2,4,0,0,false,false,0,false,P,false,No Card
Pau,20,B2,true,3480,R1,false,SP1,true,0,0,0,0,0,0,false,0,true,Both,0,2,0,0,0,3,false,false,0,false,No,false,No Card
RCL,20,R2,false,6017,R2,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,2,4,0,0,0,false,false,0,false,P,false,No Card
RCL,20,R2,false,6017,R2,false,SP2,true,0,0,0,0,0,0,false,0,false,HP,0,2,4,0,0,0,false,false,0,false,P,false,No Card
