"Scouter Initials","Match Number","Robot","Future Alliance in Qualy?","Team Number","Starting Position","No Show","Cage Position","Moved?","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Dislodged Algae?","Auto Foul","Dislodged Algae?","Pickup Location","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Crossed Feild/Played Defense?","Tipped/Fell Over?","Touched Opposing Cage?","Died?","End Position","Defended?","Yellow/Red Card","",""
"RCL","32","R2","false","10529","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","P","false","No Card","",""
"MR","32","R1","false","3480","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","HP","0","1","3","0","0","1","false","false","0","false","P","false","No Card","",""
"RM","33","B1","false","8741","R3","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","P","false","No Card","",""
"Pau","33","B2","false","3794","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","1","0","0","false","false","0","false","P","false","No Card","",""
"MOE","33","B3","false","3526","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","3","0","0","0","false","false","0","false","P","false","No Card","",""
"MR","33","CH","false","6010","R2","false","SP1","false","0","0","0","0","0","0","false","0","true","HP","0","1","3","0","0","0","false","false","0","false","Dc","false","No Card","",""
"RCL","33","R2","false","7546","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","false","Sc","false","No Card","",""
"ERC","33","R1","false","10580","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"Pau","34","B2","false","3933","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","Both","0","1","2","0","0","2","false","false","0","false","No","false","No Card","",""
"RM","34","B1","true","4010","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","Fc","true","No Card","",""
"MOE","34","B3","false","5887","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","Both","0","1","0","0","3","3","false","false","0","false","No","false","No Card","",""
"RCL","34","R2","false","4584","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","3","0","0","false","false","0","false","Fc","false","No Card","",""
"MR","34","CH","true","7725","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"MOE","35","B3","false","9053","R2","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RM","35","B1","false","9065","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","35","B2","false","4403","R1","false","SP1","true","1","0","0","0","0","0","false","0","false","HP","0","0","0","6","0","0","false","false","0","false","Fc","false","No Card","",""
"MOE","36","B3","false","6652","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RM","36","B1","false","4371","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","true","No","false","No Card","",""
"Pau","36","B2","false","3522","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","HP","0","2","2","0","0","2","false","false","0","false","No","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
