"Scouter Initials","Match Number","Robot","Future Alliance in Qualy?","Team Number","Starting Position","No Show","Cage Position","Moved?","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Dislodged Algae?","Auto Foul","Dislodged Algae?","Pickup Location","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Crossed Feild/Played Defense?","Tipped/Fell Over?","Touched Opposing Cage?","Died?","End Position","Defended?","Yellow/Red Card","",""
"K S","7","CH","false","7421","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","4","0","0","false","false","0","false","P","false","No Card","",""
"M.M.","8","R1","true","9053","R2","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"A.K","8","R2","true","4635","R2","false","SP1","true","1","2","0","0","0","0","false","0","true","HP","1","3","4","0","0","0","false","false","0","false","Dc","false","No Card","",""
"DO","8","CH","true","6106","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","2","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"K S","8","CH","false","6652","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","P","false","No Card","",""
"JP","8","B2","false","10529","R2","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","P","false","No Card","",""
"MR","8","CH","false","8741","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","None","0","0","0","0","0","1","false","false","0","false","P","false","No Card","",""
"M.M.","9","R1","false","3158","R1","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"DO","9","CH","false","2283","R2","false","SP1","true","0","0","0","0","0","0","false","0","true","HP","0","0","0","0","3","2","false","false","0","false","P","false","No Card","",""
"A.K","9","R2","true","4775","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","Fc","true","No Card","",""
"MR","9","CH","false","3158","R2","false","SP1","false","0","0","0","0","0","0","false","0","true","HP","0","0","0","0","0","3","false","false","0","false","P","false","No Card","",""
"K S","9","CH","true","5959","R3","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","4","0","0","0","1","false","false","0","false","P","false","No Card","",""
"K S","9","CH","true","5959","R3","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","4","0","0","0","1","false","false","0","false","P","false","No Card","",""
"JP","9","B2","false","4584","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","4","0","0","false","false","0","false","Fc","false","No Card","",""
"M.M","10","R1","false","10580","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"A.K","10","R2","true","4731","R3","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","4","2","0","0","0","2","false","false","0","false","No","false","No Card","",""
"DO","10","CH","false","9301","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","4","0","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"MR","10","CH","false","9282","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"K S","10","CH","false","9065","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"JP","10","B2","true","8740","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","false","P","false","No Card","",""
"A.K","11","R2","true","3472","R2","false","SP1","true","0","0","0","1","0","0","false","0","false","HP","0","0","0","4","0","0","false","false","0","false","P","false","No Card","",""
"DO","11","CH","false","5932","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"M.M","11","R1","true","6170","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","3","0","0","0","0","false","false","0","false","No","false","No Card","",""
